text
"В начале июля,"
Он благополучно избегнул
Каморка его приходилась
Квартирная же хозяйка
И каждый раз
Он был должен
Не то чтоб
Он до того
Он был задавлен
Насущными делами своими
"Никакой хозяйки, в"
Но останавливаться на
"Впрочем, на этот"
На какое дело
Гм… да… все
"Нового шага, нового"
"Пожалуй, впрочем, и"
Это я в
На улице жара
Нестерпимая же вонь
Чувство глубочайшего омерзения
"Кстати, он был"
Но скоро он
Изредка только бормотал
В эту же
Он был до
"Впрочем, квартал был"
"Близость Сенной, обилие"
Но столько злобного
Другое дело при
и заорал во
Шляпа эта была
"Но не стыд,"
Вот эдакая какая-нибудь
"Да, слишком приметная"
Никто таких не
Идти ему было
В то время
"Теперь же, месяц"
Он даже шел
С замиранием сердца
Этот дом стоял
Входящие и выходящие
Молодой человек был
Лестница была темная
Если о сю
Здесь загородили ему
Он уже прежде
"Звонок брякнул слабо,"
В подобных мелких
Он уже забыл
Немного спустя дверь
Молодой человек переступил
Старуха стояла перед
"Это была крошечная,"
"Белобрысые, мало поседевшие"
На ее тонкой
"Должно быть, молодой"
"Раскольников, студент, был"
"Помню, батюшка, очень"
Так вот-с… и
"Может, впрочем, она"
"Старуха помолчала, как"
"Небольшая комната, в"
"И тогда ,"
как бы невзначай
"Мебель, вся очень"
В углу перед
Все было очень
Ни пылинки нельзя
Это у злых
"строго произнесла старушонка,"
И он вынул
А в том
За колечко вам
Молодой человек взял
Старуха полезла в
"Молодой человек, оставшись"
"Ключи она, стало"
У укладок все
Да за два
Приходится же вам
Молодой человек спорить
Он смотрел на
Смущение это все
"Сходя по лестнице,"
"И наконец, уже"
"Чувство бесконечного отвращения,"
Он шел по
"Оглядевшись, он заметил,"
"Из дверей, как"
"Долго не думая,"
Никогда до сих
Ему захотелось выпить
Он уселся в
"Но, несмотря на"
Но даже и
В распивочной на
Кроме тех двух
"Остались: один хмельной,"
Был тут и
"Он сидел особо,"
Он был тоже
Раскольников не привык
Но теперь его
Что-то совершалось в
Он так устал
Хозяин заведения был
Он был в
За застойкой находился
"Стояли крошеные огурцы,"
"Было душно, так"
"Бывают иные встречи,"
Такое точно впечатление
Молодой человек несколько
Он беспрерывно взглядывал
"На остальных же,"
Это был человек
Но что-то было
Одет он был
Одна только еще
Из-под нанкового жилета
"Лицо было выбрито,"
Да и в
Но он был
Наконец он прямо
Ибо хотя вы
Сам всегда уважал
Мармеладов  такая
"отвечал молодой человек,"
Несмотря на недавнее
А позвольте… 
"Он был хмелен,"
С какою-то даже
"Милостивый государь, "
"Знаю я, что"
"Но нищета, милостивый"
В бедности вы
За нищету даже
"Милостивый государь, месяц"
Позвольте еще вас
"Нет, не случалось,"
"Ну-с, а я"
"Действительно, на его"
"Очень вероятно было,"
Особенно руки были
"Его разговор, казалось,"
"Хозяин, кажется, нарочно"
"Очевидно, Мармеладов был"
Да и наклонность
Эта привычка обращается
Оттого-то в пьющей
А для ча
Для чего я
А разве сердце
"Когда господин Лебезятников,"
"Позвольте, молодой человек,"
То есть безнадежно
"Вот вы знаете,"
"Но господин Лебезятников,"
"И вот, зная"
"Ведь надобно же,"
Ибо бывает такое
Когда единородная дочь
поспешил он тотчас
Сим покиванием глав
"Позвольте, молодой человек:"
"Hy-c,  продолжал"
Я звериный образ
"Пусть, пусть я"
"Милостивый государь, милостивый"
А Катерина Ивановна
ибо и не
Мармеладов решительно стукнул
"Знаете ли, знаете"
"Не башмаки-с, ибо"
Косыночку ее из
Детей же маленьких
Для того и
"Не веселья, а"
"И он, как"
"Молодой человек, "
"Как вошли, я"
"Ибо, сообщая вам"
"Знайте же, что"
Медаль… ну медаль-то
И хотя с
И я не
"Да, да; дама"
Пол сама моет
Оттого и господину
Вдовой уже взял
Вышла замуж за
"Мужа любила чрезмерно,"
Бивал он ее
Да и горда
"Можете судить потому,"
"Понимаете ли, понимаете"
Этого вы еще
Но и сим
Полтора года уже
И здесь я
Тут уже по
Живут же там
Ибо хотя Катерина
"Воспитания, как и"
Пробовал я с
"ну, их уже"
"Потом, уже достигнув"
с большим интересом
Теперь же обращусь
Пятнадцать копеек в
Да и то
не только денег
А тут ребятишки
"лежал пьяненькой-с, и"
А уж Дарья
"А что ж,"
"Но не вините,"
Не в здравом
"И вижу я,"
"Пришла, и прямо"
Ни словечка при
"С тех пор,"
"Ибо и хозяйка,"
Сначала сам добивался
А Катерина Ивановна
И жена его
"Ну, говорит, Мармеладов,"
Облобызал я прах
В это время
"Мармеладов, не обращая"
"Он, казалось, уже"
Воспоминания о недавнем
Да… Только что
А ныне: на
И откуда они
"Сапоги, манишки коленкоровые"
Пришел я в
Платьев-то нет у
"Сонечка, голубка моя,"
Пришел я после
Два часа просидели
"Нет-с, сама всему"
"Когда же, шесть"
"Мармеладов остановился, хотел"
"Этот кабак, развращенный"
"воскликнул Мармеладов, оправившись,"
Ибо я все
"Ну-с, государь ты"
Пятый день из
Мармеладов стукнул себя
Но через минуту
крикнул кто-то со
Вот этот самый
"Тридцать копеек вынесла,"
"Ну, там помадки"
"Ну-с, а я"
Смеялись и ругались
"вдруг возопил Мармеладов,"
"Скорби, скорби искал"
Приидет в тот
"Где дщерь, что"
Я уже простил
И всех рассудит
"Выходите пьяненькие, выходите"
И скажет: Потому
и все поймут…
И он опустился
Слова его произвели
"Пойдемте, сударь, "
Пора… к Катерине
Мармеладов оказался гораздо
Смущение и страх
Я не Катерины
Оно даже и
Детского плача тоже
А побоев не
Было уже почти
Маленькая закоптелая дверь
Огарок освещал беднейшую
Все было разбросано
В самой же
На краю стола
"Выходило, что Мармеладов"
Дверь в дальнейшие
Это была ужасно
Она ходила взад
Глаза ее блестели
Раскольникову она показалась
В комнате было
"Самая маленькая девочка,"
"Старшая девочка, лет"
"Она, кажется, унимала"
"Мармеладов, не входя"
"Женщина, увидев незнакомого,"
"Но, верно, ей"
Сообразив это и
Мармеладов тотчас же
"и вдруг, в"
Мармеладов сам облегчал
И это мне
Мальчик в углу
"А вам, вам"
К тому же
Протягивались наглые смеющиеся
Виднелись фигуры в
Особенно потешно смеялись
Стали даже входить
"Уходя, Раскольников успел"
Ну что это
"Но рассудив, что"
Соне помадки ведь
"А ведь Сонечка-то,"
Ну а коли
Он проснулся на
"Проснулся он желчный,"
Это была крошечная
Мебель соответствовала помещению:
Часто он спал
Трудно было более
Он решительно ушел
Так бывает у
Квартирная хозяйка его
"Настасья, кухарка и"
"спросил он, медленно"
Она поставила перед
"Вот, Настасья, возьми,"
Сайку я тебе
Когда щи были
Прасковья-то Павловна в
"Э, черта еще"
"Дура-то она дура,"
"Прежде, говоришь, детей"
Она была из
Давно уже не
"Настасья, уйди, ради"
Письмо дрожало в
"Когда Настасья вышла,"
Наконец распечатал: письмо
"Милый мой Родя,"
"Но, наверно, ты"
"Ты знаешь, как"
Что было со
Чем могла я
"Пятнадцать рублей, которые"
"Но, дав ему"
"Но теперь, слава"
"И, во-первых, угадываешь"
"Слава тебе господи,"
